Régions;Catégories;Année;typologie;nombre d’unités
6- l'Oriental;Opérations à faible valeur immobilière;0;Lots;0
6- l'Oriental;Opérations à faible valeur immobilière;0;Logements;0
6- l'Oriental;Opérations à faible valeur immobilière;0;Unites de restructuration;0
6- l'Oriental;Opérations économiques et sociales  ;815;Lots;5960
6- l'Oriental;Opérations économiques et sociales  ;815;Logements;24190
6- l'Oriental;Opérations économiques et sociales  ;815;Unites de restructuration;30965
6- l'Oriental;App, en Immeubles (moyen et haut standing….);1572;Lots;274
6- l'Oriental;App, en Immeubles (moyen et haut standing….);1572;Logements;0
6- l'Oriental;App, en Immeubles (moyen et haut standing….);1572;Unites de restructuration;1846
6- l'Oriental;Villas;60;Lots;0
6- l'Oriental;Villas;60;Logements;0
6- l'Oriental;Villas;60;Unites de restructuration;60
6- l'Oriental;Total;2447;Lots;6234
6- l'Oriental;Total;2447;Logements;0
6- l'Oriental;Total;2447;Unites de restructuration;8681
